year,consumer_spending_m,consumer_spending_growth_pct
2008,1384614,
2009,1336656,-3.46%
2010,1372907,2.71%
2011,1364172,-0.64%
2012,1392361,2.07%
2013,1427390,2.52%
2014,1471584,3.10%
2015,1516223,3.03%
2016,1572915,3.74%
2017,1603724,1.96%
2018,1631242,1.72%
2019,1650664,1.19%
2020,1441233,-12.69%
2021,1542035,6.99%
2022,1657618,7.50%
2023,1652281,-0.32%
2024,1650727,-0.09%
2025,1663641,0.78%
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1955 Q1,79483,
1955 Q2,79996,
1955 Q3,81131,
1955 Q4,80620,
1956 Q1,80855,
1956 Q2,80735,
1956 Q3,80858,
1956 Q4,81082,
1957 Q1,81617,
1957 Q2,82346,
1957 Q3,83241,
1957 Q4,83715,
1958 Q1,84302,
1958 Q2,84260,
1958 Q3,85263,
1958 Q4,86881,
1959 Q1,86928,
1959 Q2,88587,
1959 Q3,89029,
1959 Q4,91338,
1960 Q1,92398,
1960 Q2,92092,
1960 Q3,92703,
1960 Q4,92727,
1961 Q1,94376,
1961 Q2,94419,
1961 Q3,94853,
1961 Q4,94899,
1962 Q1,95671,
1962 Q2,97271,
1962 Q3,96640,
1962 Q4,97756,
1963 Q1,98300,
1963 Q2,101330,
1963 Q3,102469,
1963 Q4,102209,
1964 Q1,103740,
1964 Q2,104082,
1964 Q3,104664,
1964 Q4,105727,
1965 Q1,105546,
1965 Q2,105166,
1965 Q3,106325,
1965 Q4,106657,
1966 Q1,108134,
1966 Q2,109142,
1966 Q3,107297,
1966 Q4,107279,
1967 Q1,108374,
1967 Q2,109814,
1967 Q3,112116,
1967 Q4,112979,
1968 Q1,116516,
1968 Q2,112056,
1968 Q3,114037,
1968 Q4,114178,
1969 Q1,114003,
1969 Q2,115025,
1969 Q3,115187,
1969 Q4,115938,
1970 Q1,116165,
1970 Q2,118077,
1970 Q3,119853,
1970 Q4,119404,
1971 Q1,119047,
1971 Q2,121760,
1971 Q3,123913,
1971 Q4,124913,
1972 Q1,127118,
1972 Q2,130033,
1972 Q3,132016,
1972 Q4,133103,
1973 Q1,138286,
1973 Q2,137388,
1973 Q3,138394,
1973 Q4,137307,
1974 Q1,134820,
1974 Q2,135524,
1974 Q3,136823,
1974 Q4,137168,
1975 Q1,136704,
1975 Q2,136988,
1975 Q3,135540,
1975 Q4,134375,
1976 Q1,135274,
1976 Q2,136161,
1976 Q3,137451,
1976 Q4,137740,
1977 Q1,134947,
1977 Q2,134769,
1977 Q3,136431,
1977 Q4,139261,
1978 Q1,142646,
1978 Q2,142238,
1978 Q3,145461,
1978 Q4,144489,
1979 Q1,147037,
1979 Q2,155326,
1979 Q3,148842,
1979 Q4,150872,
1980 Q1,153439,
1980 Q2,149443,
1980 Q3,151403,
1980 Q4,148523,
1981 Q1,151234,
1981 Q2,151164,
1981 Q3,151269,
1981 Q4,150853,
1982 Q1,151361,
1982 Q2,151251,
1982 Q3,153796,
1982 Q4,155106,
1983 Q1,157443,
1983 Q2,158445,
1983 Q3,161027,
1983 Q4,161090,
1984 Q1,162074,
1984 Q2,163369,
1984 Q3,162507,
1984 Q4,165575,
1985 Q1,169390,
1985 Q2,170284,
1985 Q3,172709,
1985 Q4,174066,
1986 Q1,178852,
1986 Q2,181672,
1986 Q3,182857,
1986 Q4,183752,
1987 Q1,185943,
1987 Q2,189091,
1987 Q3,193017,
1987 Q4,197212,
1988 Q1,199926,
1988 Q2,202789,
1988 Q3,207502,
1988 Q4,209369,
1989 Q1,211167,
1989 Q2,212989,
1989 Q3,212810,
1989 Q4,213685,
1990 Q1,215861,
1990 Q2,216571,
1990 Q3,215211,
1990 Q4,215007,
1991 Q1,214735,
1991 Q2,213315,
1991 Q3,213544,
1991 Q4,213576,
1992 Q1,213040,
1992 Q2,215855,
1992 Q3,217123,
1992 Q4,217528,
1993 Q1,219343,
1993 Q2,219780,
1993 Q3,223611,
1993 Q4,225346,
1994 Q1,227586,
1994 Q2,227983,
1994 Q3,229961,
1994 Q4,231570,
1995 Q1,231674,
1995 Q2,233343,
1995 Q3,234345,
1995 Q4,237147,
1996 Q1,239556,
1996 Q2,241559,
1996 Q3,243639,
1996 Q4,246780,
1997 Q1,249328,
1997 Q2,253090,
1997 Q3,256735,
1997 Q4,258701,
1998 Q1,260797,
1998 Q2,263411,
1998 Q3,267649,
1998 Q4,267397,
1999 Q1,270159,
1999 Q2,275407,
1999 Q3,278331,
1999 Q4,280651,
2000 Q1,284274,
2000 Q2,287388,
2000 Q3,290894,
2000 Q4,293325,
2001 Q1,294155,
2001 Q2,296378,
2001 Q3,300827,
2001 Q4,303055,
2002 Q1,303450,
2002 Q2,304764,
2002 Q3,307772,
2002 Q4,310517,
2003 Q1,312554,
2003 Q2,316413,
2003 Q3,318762,
2003 Q4,320529,
2004 Q1,322150,
2004 Q2,325157,
2004 Q3,326983,
2004 Q4,329186,
2005 Q1,332385,
2005 Q2,333357,
2005 Q3,335900,
2005 Q4,336830,
2006 Q1,335359,
2006 Q2,335833,
2006 Q3,338624,
2006 Q4,339339,
2007 Q1,343169,
2007 Q2,347001,
2007 Q3,353872,
2007 Q4,353402,
2008 Q1,355059,
2008 Q2,350021,
2008 Q3,344231,
2008 Q4,335303,
2009 Q1,333667,
2009 Q2,332958,
2009 Q3,333656,
2009 Q4,336375,
2010 Q1,335932,
2010 Q2,345407,
2010 Q3,346142,
2010 Q4,345426,
2011 Q1,342009,
2011 Q2,340153,
2011 Q3,340755,
2011 Q4,341255,
2012 Q1,341708,
2012 Q2,345006,
2012 Q3,349895,
2012 Q4,355752,
2013 Q1,352851,
2013 Q2,355308,
2013 Q3,359151,
