year,hospitality_revenue_m,awe_weekly_pay,awe_growth_pct,hospitality_vacancy_index,hospitality_vacancies_thousands,avg_interest_rate,cost_of_living_index,cost_of_living_growth_pct,consumer_spending_m,consumer_spending_growth_pct,real_wage_pressure,labour_pressure_ratio
2008,77505.9,NULL,NULL,91.6,60,3.95,NULL,NULL,NULL,NULL,NULL,0.000774135
2009,70008.1,434,0,84.7,42,1,86.6,0.02,1336660,-0.03,-0.02,0.000599931
2010,69802.6,444,0.02,87.9,45,0.5,89.4,0.03,1372910,0.03,-0.01,0.000644675
2011,72947.5,455,0.02,92.6,45,0.5,93.4,0.04,1364170,-0.01,-0.02,0.000616882
2012,74960.1,461,0.01,92.7,49,0.5,96.1,0.03,1392360,0.02,-0.02,0.000653681
2013,75504.9,466,0.01,99.2,55,0.5,98.5,0.03,1427390,0.03,-0.02,0.00072843
2014,80266.1,471,0.01,95.3,71,0.5,100,0.02,1471580,0.03,-0.01,0.000884558
2015,85343.6,482,0.02,93.3,81,0.5,100,0,1516220,0.03,0.02,0.000949105
2016,93100.5,494,0.02,99.5,81,0.25,100.7,0.01,1572920,0.04,0.01,0.000870028
2017,98350.2,505,0.02,105.5,92,0.5,103.4,0.03,1603720,0.02,-0.01,0.000935433
2018,99169.5,520,0.03,103.9,92,0.75,105.9,0.02,1631240,0.02,0.01,0.000927705
2019,105744,538,0.03,105.6,92,0.75,107.8,0.02,1650660,0.01,0.01,0.000870026
2020,57587.3,547,0.02,65.2,44,0.175,108.7,0.01,1441230,-0.13,0.01,0.000764057
2021,83046.3,580,0.06,84.5,102,0.25,111.6,0.03,1542040,0.07,0.029999999,0.001228231
2022,123959,616,0.06,103,162,1.75,121.7,0.09,1657620,0.08,-0.030000005,0.001306884
2023,135282,659,0.07,100,126,4.6,130.5,0.07,1652280,0,0,0.000931386
2024,138673,694,0.05,99.9,98,4.875,133.9,0.03,1650730,0,0.020000001,0.000706696
2025,147043,728,0.05,NULL,79,4.125,138.4,0.03,1663640,0.01,0.020000001,0.000537259
