year,accommodation_services_m,food_beverage_services_m,hospitality_revenue_m
2008,19963.5,57542.4,77505.9
2009,18516.6,51491.5,70008.1
2010,17661.7,52140.9,69802.6
2011,19193,53754.5,72947.5
2012,19237.6,55722.5,74960.1
2013,20241.2,55263.7,75504.9
2014,21033.8,59232.3,80266.1
2015,23700.5,61643.1,85343.6
2016,25726.4,67374.1,93100.5
2017,26307.7,72042.5,98350.2
2018,27324.4,71845.1,99169.5
2019,28939.1,76804.9,105744
2020,13610.1,43977.2,57587.3
2021,22042.1,61004.2,83046.3
2022,34943.7,89015.3,123959
2023,36203.9,99078.4,135282.3
2024,37190.2,101483.2,138673.4
2025,38434.6,108608,147042.6
